power,error,integral,derivative,tweak
550200,100000,200,450000,0
100400,100000,400,0,0
92071.9,98450,596.9,-6975,1
90440.6,96850,790.6,-7200,0
83804.2,94300,979.2,-11475,0
93267,93900,1167,-1800,0
94979.7,93850,1354.7,-225,0
94292,93650,1542,-900,0
93178.5,93250,1728.5,-1800,0
92964.2,92850,1914.2,-1800,0
91373.6,92200,2098.6,-2925,0
92557.3,91850,2282.3,-1575,0
88814,90850,2464,-4500,0
89919.4,90200,2644.4,-2925,0
85872.2,88900,2822.2,-5850,0
88048.6,88200,2998.6,-3150,0
83947.3,86850,3172.3,-6075,0
86344.6,86150,3344.6,-3150,0
80863.7,84550,3513.7,-7200,0
84106.3,83800,3681.3,-3375,0
78295.5,82100,3845.5,-7650,0
81708.1,81300,4008.1,-3600,0
73091.2,79050,4166.2,-10125,0
77872.3,78050,4322.3,-4500,0
70424,75850,4474,-9900,0
74148.4,74700,4623.4,-5175,0
66818.2,72400,4768.2,-10350,0
70985.7,71250,4910.7,-5175,0
62823.3,68800,5048.3,-11025,0
67108.4,67550,5183.4,-5625,0
58838.4,65000,5313.4,-11475,0
63015.7,63650,5440.7,-6075,0
53262.2,60750,5562.2,-13050,0
58180.7,59250,5680.7,-6750,0
49368.5,56400,5793.5,-12825,0
53778.2,54850,5903.2,-6975,0
43256.5,51650,6006.5,-14400,0
48681.5,50000,6106.5,-7425,0
37499.7,46600,6199.7,-15300,0
43264.4,44850,6289.4,-7875,0
32522.3,41450,6372.3,-15300,0
38276.7,39700,6451.7,-7875,0
25323.5,35900,6523.5,-17100,0
31766.4,33950,6591.4,-8775,0
19151.5,30050,6651.5,-17550,0
25757.6,28050,6707.6,-9000,0
12530.6,24000,6755.6,-18225,0
19799.6,22000,6799.6,-9000,0
5735.2,17800,6835.2,-18900,0
13666.8,15800,6866.8,-9000,0
6467.5,12850,6892.5,-13275,0
8214,10750,6914,-9450,0
-4597.6,6700,6927.4,-18225,0
3737.2,4900,6937.2,-8100,0
5519.7,3750,6944.7,-5175,0
7401,3150,6951,-2700,0
-3647.7,650,6952.3,-11250,0
-2575.1,-1200,6949.9,-8325,0
-5806.7,-3300,6943.3,-9450,0
335.5,-3900,6935.5,-2700,0
-3024.5,-5000,6925.5,-4950,0
-4962,-6250,6913,-5625,0
-9803.3,-8150,6896.7,-8550,0
-3470.4,-8550,6879.6,-1800,0
-5263.8,-9200,6861.2,-2925,0
-4833.1,-9650,6841.9,-2025,0
-5028.2,-10050,6821.8,-1800,0
-4073.6,-10200,6801.4,-675,0
-3694.1,-10250,6780.9,-225,0
-3489.6,-10250,6760.4,0,0
-3510.1,-10250,6739.9,0,0
-3530.6,-10250,6719.4,0,0
-3551.1,-10250,6698.9,0,0
-3571.6,-10250,6678.4,0,0
-3592.1,-10250,6657.9,0,0
-3612.6,-10250,6637.4,0,0
-3633.1,-10250,6616.9,0,0
-3653.6,-10250,6596.4,0,0
-3123.9,-10150,6576.1,450,0
-2768.9,-10000,6556.1,675,0
-162.7,-9400,6537.3,2700,0
-680.7,-9000,6519.3,1800,0
-22.7998,-8550,6502.2,2025,0
-1514.7,-8450,6485.3,450,0
-1156.3,-8300,6468.7,675,0
-1297.7,-8200,6452.3,450,0
1262,-7650,6437,2475,0
422.3,-7350,6422.3,1350,0
-117.1,-7200,6407.9,675,0
-806.5,-7200,6393.5,0,0
554.6,-6950,6379.6,1125,0
791.2,-6700,6366.2,1125,0
1303.4,-6400,6353.4,1350,0
-59.3999,-6400,6340.6,0,0
