Time, Temperature, Velocity
1,30,424.4
2,30,534.4
3,30,548
4,30,570.8
5,30,554.2
6,30,548.6
7,30,552.2
8,30,563.6
9,30,559.8
10,30,557.2
11,30,567
12,30,548.2
13,30,563.4
14,30,553.6
15,30,544.8
16,30,554.2
17,30,558.8
18,30,576
19,30,535.4
20,30,569.4
21,30,533
22,30,555
23,30,540.2
24,30,549
25,30,555.4
26,30,566.6
27,30,528.6
28,30,565.6
29,30,548
30,30,559.4
31,30,541.6
32,30,560
33,30,539.6
34,30,551.6
35,30,567.6
36,30,520
37,30,522.4
38,30,564.6
39,30,549.8
40,35,543.8
41,35,561.2
42,35,535.8
43,35,558.8
44,35,521.8
45,35,561.8
46,35,555.4
47,35,543.6
48,35,540.8
49,35,511.4
50,35,537
51,35,548.2
52,35,504.6
53,35,561
54,35,542.2
55,35,516
56,35,555
57,35,556.2
58,35,541.6
59,35,545.6
60,35,564.2
61,35,510.8
62,35,512.6
63,35,526.2
64,35,520.6
65,35,549
66,35,516.8
67,35,550.2
68,35,551.8
69,35,516.6
70,35,552.2
71,35,492.6
72,35,530
73,35,517.6
74,35,544.8
75,35,573.6
76,35,509
77,35,512.2
78,35,552.2
79,35,569.2
80,35,525.4
81,40,518.2
82,40,530.2
83,40,547.6
84,40,541.8
85,40,548.8
86,40,539
87,40,497.6
88,40,555.6
89,40,513.2
90,40,529
91,40,524.6
92,40,535.2
93,40,548
94,40,528.4
95,40,547
96,40,532
97,40,526.2
98,40,549.4
99,40,520
100,40,533.6
101,40,554
102,40,520.4
103,40,528.4
104,40,544.8
105,40,548.2
106,40,550.8
107,40,559
108,40,544.4
109,40,552.8
110,40,521
111,40,527.6
112,40,533.2
113,40,532
114,40,542.2
115,40,536.4
116,40,548.6
117,40,565.2
118,40,526.4
119,45,543.2
120,45,565.4
121,45,553.4
122,45,569.2
123,45,543
124,45,522.2
125,45,541
126,45,559
127,45,543.8
128,45,562.6
129,45,528
130,45,520.6
131,45,543.8
132,45,568
133,45,532
134,45,550.6
135,45,526.6
136,45,582
137,45,524.2
138,45,537.6
139,45,525.8
140,45,537
141,45,544.4
142,45,541
143,45,569
144,45,549.6
145,45,524.8
146,45,538.8
147,45,553.2
148,45,546.4
149,45,549.6
150,45,575.4
151,45,565.6
152,45,529.2
153,45,548.6
154,45,583
155,45,580.4
156,45,543.6
157,50,570.8
158,50,580
159,50,575.6
160,50,545.4
161,50,570.8
162,50,566.4
163,50,589
164,50,544.8
165,50,544.2
166,50,541
167,50,567.4
168,50,579
169,50,556.4
170,50,572.4
171,50,590.4
172,50,535.6
173,50,576.8
174,50,578.8
175,50,545.8
176,50,540.8
177,50,551.4
178,50,561.2
179,50,590.2
180,50,538
181,50,593
182,50,548
183,50,583.4
184,50,549.4
185,50,543.6
186,50,561.6
187,50,573.6
188,50,588.2
189,50,578.2
190,50,542.2
191,50,548
192,50,574.8
193,50,578.6
194,50,561
195,50,595
196,50,543
197,50,581.6
198,50,571.8
199,50,573.6
200,55,577.4
201,55,562.6
202,55,574.4
203,55,533
204,55,575.2
205,55,559.8
206,55,527.6
207,55,546.6
208,55,573
209,55,573.6
210,55,574.2
211,55,539
212,55,566
213,55,528.2
214,55,576.4
215,55,596.8
216,55,542
217,55,586.4
218,55,551.4
219,55,564.8
220,55,568.2
221,55,591
222,55,536.8
223,55,580.4
224,55,556.6
225,55,533.8
226,55,573.2
227,55,584.4
228,55,557.4
229,55,586
230,55,541.6
231,55,571.6
232,55,543.8
233,55,560.2
234,55,564
235,55,564.4
236,55,571.4
237,55,573.2
238,55,543.2
239,55,550.6
240,55,541
241,55,545.8
242,55,578.8
243,55,580.6
244,55,544
245,55,563.8
246,55,556.6
247,60,523.4
248,60,520.4
249,60,439.4
250,60,427.6
251,60,404.4
252,60,370.4
253,60,360.4
254,60,358.8
255,60,335
256,60,326.2
257,60,342.8
258,60,324.8
259,60,341.2
260,60,351
261,60,343.8
262,60,334
263,60,319.4
264,60,325.4
265,60,327.6
266,60,354.6
267,60,325
268,60,318.6
269,60,324.4
270,60,342
271,60,341.8
272,60,334.2
273,60,327.4
274,60,332.6
275,60,326.6
276,60,347
277,60,357
278,60,326.4
279,60,327.8
280,60,339.8
281,60,352
282,60,339.2
283,60,334.4
284,60,342.8
285,60,361.4
286,60,353
287,60,341.6
288,60,335.4
289,60,358.6
290,60,364.8
291,60,352.2
292,60,346.6
293,60,343.4
294,60,339.8
295,60,345.4
296,60,346.8
297,60,349.8
298,60,366.4
299,60,374.4
300,60,351.6
301,60,346.4
302,60,366.8
303,60,344.6
304,60,373
305,60,357
306,60,343.6
307,60,364
308,60,352
309,60,349.6
310,60,366.4
311,60,365.2
312,60,357.2
313,60,354.8
314,60,352
315,60,346.4
316,60,352.6
317,60,366
318,60,360
319,60,341.2
320,60,328.4
321,60,362
322,60,345.6
323,60,336.8
324,60,333.4
325,60,362
326,60,331
327,60,363.2
328,60,333.4
329,60,338.8
330,60,351
331,60,345.4
332,60,338.6
333,60,343.8
334,60,372.4
335,60,354.4
336,60,346.8
337,60,371
338,60,343.2
339,60,364.2
340,60,367.8
341,60,339.8
342,60,368
343,60,353.6
344,60,342.6
345,60,338
346,60,344.6
347,60,341.6
348,60,351.2
349,60,349
350,60,368.8
351,60,336.8
352,60,373.2
353,60,359
354,60,303.8
355,65,271.6
356,65,204.4
357,65,159.4
358,65,98.6
359,65,37.2
360,65,0
361,65,0
362,65,0
363,65,0
364,65,0
365,65,0
366,65,0
367,65,0
368,65,0
369,65,0
370,65,0
371,65,0
372,65,0
373,65,0
374,65,0
375,65,0
376,65,0
377,65,0
378,65,0
379,65,0
380,65,0
381,65,0
382,65,0
383,65,0
384,65,0
385,65,0
386,65,0
387,65,0
388,65,0
389,65,0
390,65,0
